Date,AAPL,ADBE,AMD,AMZN,AVGO,CRM,CSCO,GOOG,IBM,INTC,META,MSFT,NFLX,NVDA,ORCL,QCOM,TSLA,TXN
2015-01-02,24.288578033447266,72.33999633789062,2.6700000762939453,15.425999641418457,7.6056437492370605,58.818538665771484,20.055137634277344,26.045291900634766,99.33110809326172,27.896459579467773,78.08200073242188,39.99870300292969,49.84857177734375,0.48309919238090515,37.72832489013672,54.92338180541992,14.620667457580566,40.19950866699219
2015-01-05,23.604333877563477,71.9800033569336,2.6600000858306885,15.10949993133545,7.484063148498535,57.75614929199219,19.6556453704834,25.502361297607422,97.7681655883789,27.581897735595703,76.82791137695312,39.630882263183594,47.31142807006836,0.47493937611579895,37.199222564697266,54.664588928222656,14.005999565124512,39.57563400268555
2015-01-06,23.60655403137207,70.52999877929688,2.630000114440918,14.76449966430664,7.313848495483398,56.793052673339844,19.64837074279785,24.911291122436523,95.65970611572266,27.06785774230957,75.79278564453125,39.0492057800293,46.50143051147461,0.460540235042572,36.815181732177734,53.88821792602539,14.085332870483398,38.92167282104492
2015-01-07,23.937570571899414,71.11000061035156,2.5799999237060547,14.920999526977539,7.511416912078857,56.52497100830078,19.829967498779297,24.868610382080078,95.03450775146484,27.635602951049805,75.79278564453125,39.54534149169922,46.74285888671875,0.45934009552001953,36.823726654052734,54.51671600341797,14.063332557678223,39.6207389831543
2015-01-08,24.85730743408203,72.91999816894531,2.609999895095825,15.02299976348877,7.886797904968262,58.17316436767578,19.98250961303711,24.947021484375,97.10011291503906,28.149648666381836,77.81327056884766,40.70868682861328,47.779998779296875,0.4766194522380829,37.04560470581055,55.09345626831055,14.041333198547363,40.26716995239258
2015-01-09,24.88396453857422,71.83999633789062,2.630000114440918,14.846500396728516,7.971145153045654,57.74622344970703,20.18589210510254,24.623945236206055,97.52300262451172,28.203350067138672,77.37532806396484,40.366519927978516,47.04142761230469,0.47853928804397583,37.028541564941406,55.026912689208984,13.77733325958252,40.28972625732422
2015-01-12,24.27080535888672,71.12000274658203,2.630000114440918,14.570500373840332,7.83892822265625,57.319278717041016,20.374752044677734,24.44428825378418,95.886474609375,28.080583572387695,76.36011505126953,39.86182403564453,45.547142028808594,0.4725395739078522,36.92613983154297,54.398414611816406,13.480667114257812,39.92891311645508
2015-01-13,24.486299514770508,70.58999633789062,2.6600000858306885,14.737000465393066,7.7948527336120605,57.55757522583008,20.411069869995117,24.62444305419922,96.11328125,28.003864288330078,76.09137725830078,39.65654373168945,46.255714416503906,0.47181957960128784,36.6359748840332,53.954750061035156,13.616666793823242,39.68086242675781
2015-01-14,24.39299964904785,69.98999786376953,2.630000114440918,14.66349983215332,7.8564019203186035,56.84269332885742,20.280319213867188,24.857196807861328,95.49421691894531,27.8887939453125,75.92218017578125,39.31437301635742,46.31999969482422,0.47373947501182556,36.746925354003906,53.400184631347656,12.845999717712402,39.6207389831543
2015-01-15,23.73096466064453,70.29000091552734,2.5199999809265137,14.34749984741211,7.6991095542907715,54.71792221069336,19.909870147705078,24.902856826782227,94.74030303955078,27.766033172607422,73.70263671875,38.90378189086914,46.25143051147461,0.47037965059280396,36.37996292114258,52.77909469604492,12.791333198547363,39.380191802978516
2015-01-16,23.546567916870117,71.7300033569336,2.390000104904175,14.536999702453613,7.889075756072998,56.23703384399414,20.105989456176758,25.21501350402832,96.31555938720703,27.965513229370117,74.82733154296875,39.55389404296875,48.191429138183594,0.47901928424835205,37.130943298339844,52.71253204345703,12.871333122253418,40.056697845458984
2015-01-20,24.153060913085938,71.48999786376953,2.240000009536743,14.472000122070312,7.968865394592285,56.88241195678711,20.3892765045166,25.156452178955078,96.19906616210938,27.689302444458008,75.88236999511719,39.68219757080078,49.82857131958008,0.4804593026638031,37.463768005371094,53.592445373535156,12.795332908630371,40.44758224487305
2015-01-21,24.33745765686035,71.54000091552734,2.450000047683716,14.862500190734863,8.00761890411377,57.29942321777344,20.222209930419922,25.709308624267578,93.22026062011719,27.9885196685791,76.38002014160156,39.280155181884766,58.468570709228516,0.48717889189720154,37.11387634277344,52.93437957763672,13.104666709899902,40.80084991455078
2015-01-22,24.970609664916992,73.4800033569336,2.4700000286102295,15.515999794006348,7.993943214416504,57.58736038208008,20.701614379882812,26.520727157592773,95.24293518066406,28.31843376159668,77.28575897216797,40.31520080566406,61.20571517944336,0.4955788254737854,37.591773986816406,53.170989990234375,13.441332817077637,41.31951141357422
2015-01-23,25.09945297241211,74.05999755859375,2.450000047683716,15.619500160217285,8.129199981689453,58.202945709228516,20.490964889526367,26.796659469604492,95.53709411621094,27.965513229370117,77.46490478515625,40.35797119140625,62.494285583496094,0.4970185458660126,37.71125030517578,53.37062454223633,13.419333457946777,41.387168884277344
2015-01-26,25.126115798950195,72.73999786376953,2.609999895095825,15.482999801635742,8.11020565032959,59.35469436645508,20.316646575927734,26.56142234802246,95.83745574951172,27.4744815826416,77.13645935058594,40.21254348754883,63.79428482055664,0.4948585331439972,37.463768005371094,53.688568115234375,13.770000457763672,41.379642486572266
2015-01-27,24.246376037597656,71.45999908447266,2.700000047683716,15.337499618530273,7.962785720825195,57.37885665893555,19.5394229888916,25.738590240478516,94.18869018554688,26.2315673828125,75.42451477050781,36.491546630859375,64.88143157958984,0.4710996747016907,37.03706359863281,53.06746292114258,13.732000350952148,41.21429443359375
